proj_num,proj_num_heal,proj_tittle,data_src
1K01DA044279-01A1,1K01DA044279-01A1,PREVENTING SUBSTANCE USE AMONG YOUTH: BEHAVIORAL AND ECONOMIC IMPACT OF ENHANCED IMPLEMENTATION STRATEGIES FOR COMMUNITIES,RePORTER_API_code
1K24AR081143-01,1K24AR081143-01,Mentorship of Junior Investigators on HEAL-SKOAP,RePORTER_API_code
1K24AT011995-01,1K24AT011995-01,Providing training in effective non-opioid options for the treatment of pain conditions,RePORTER_API_code
1K24NS126570-01,1K24NS126570-01,Mentorship in Precision Pain Medicine via the Early Phase Pain Investigation Clinical Network,RePORTER_manual
1K24NS126781-01,1K24NS126781-01,Mentoring in discovery and validation of clinical chronic pain biomarkers,RePORTER_API_code
1K24NS126861-01,1K24NS126861-01,Promoting high-quality chronic pain treatment trials through mentorship of junior investigators: A focus on study conduct and method development,RePORTER_API_code
1OT2NS122680-01,OT2 NS122680-01,A 24-week Week Study to Evaluate the Safety and Efficacy of CNTX-6970 in Subjects with Moderate to Severe Knee Osteoarthritis Pain.,RePORTER_API_code
1OT2NS122680-01,3OT2NS122680-01,"A Randomized, Double-blind, Placebo-controlled, Parallel, 20-week, Phase 2b Study of Topical Pirenzepine (WST-057) or Placebo in Type 2 Diabetes Mellitus Patients with Painful Diabetic Peripheral Neuropathy",RePORTER_API_code
1OT2NS122680-01,OT2 NS122680-01,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Assess the Safety and Efficacy of 80 mg o.d. of NRD135S.El Versus Placebo in Adult and Elderly Subjects with Painful Diabetic Peripheral Neuropathy (SERENDIPITY-I)",RePORTER_API_code
1OT2OD030208-01,1OT2OD030208,Helping to End Addiction Long-term (HEAL) Data Platform,RePORTER_API_code
1OT2OD031940-01,1OT2OD031940-01,A Strategy for HEAL Federated Data Ecosystem,RePORTER_API_code
1PL1HD101059-01,1PL1HD101059-01,HEAL Initiative: Antenatal Opioid Exposure Longitudinal Study Consortium,RePORTER_API_code
1R01AR077890-01,1R01AR077890-01,Validation of Novel Target for OA Treatment,RePORTER_API_code
1R01AT010742-01,1R01AT010742-01,Mindful Body Awareness Training as an Adjunct to Medication Assisted Treatment for Opioid Use Disorder: An ancillary study,RePORTER_API_code
1R01AT010797-01,1R01AT010797-01,Enhancing the impact of behavioral pain management on MAT outcomes,RePORTER_API_code
1R01CA249939-01,1R01CA249939-01,Identification of Novel Targets for the Treatment of Chemotherapy-Induced Painful Peripheral Neuropathy,RePORTER_API_code
1R01DA045695-01A1,1R01DA045695-01A1,Treating Chronic Pain in Buprenorphine Patients in Primary Care Settings,RePORTER_API_code
1R01DA046532-01A1,1R01DA046532-01A1,Evaluation of drug mixtures for treating pain: behavioral and pharmacological interactions between opioids and serotonin agonists,RePORTER_API_code
1R01DA047094-01A1,1R01DA047094-01A1,Guanfacine Target Engagement and Validation to Improve Substance Use Outcomes in Women,RePORTER_API_code
1R01DA047574-01,1R01DA047574-01,In vivo characterization of opioid biased agonists,RePORTER_API_code
1R01DA048417-01,1R01DA048417-01,A novel opioid receptor antagonist for treating abuse and overdose,RePORTER_API_code
1R01DA051067-01,1R01DA051067-01,Hub and Spoke Opioid Treatment Networks: 2nd Generation Approaches to Improve Medication Treatment for Opioid Use Disorders,RePORTER_API_code
1R01DE029074-01A1,1R01DE029074-01A1,Novel Target Identification for Treatment of Chronic Overlapping Pain Using Multimodal Brain Imaging,RePORTER_API_code
1R01DE029187-01,1R01DE029187-01,LIGHT and Lymphotoxin targeting for the treatment of chronic orofacial pain conditions,RePORTER_API_code
1R01DE029202-01,1R01DE029202-01,Validation of blocking TSP4/Cava2d1 interaction as a new target for neuropathic pain,RePORTER_API_code
1R01DE029342-01,1R01DE029342-01,Identification and Validation of a Novel Central Analgesia Circuit,RePORTER_API_code
1R01DE029951-01,1R01DE029951-01,Targeting Endosomal Receptors for Treatment of Chronic Pain,RePORTER_API_code
1R01DK123138-01,1R01DK123138-01,Validation of peripheral CGRP signaling as a target for the treatment of pain in chronic pancreatitis,RePORTER_API_code
1R01HD096796-01,1R01HD096796-01,PHARMACOLOGICALLY-BASED STRATEGIES FOR BUPRENORPHINE TREATMENT DURING PREGNANCY,RePORTER_API_code
1R01HD096798-01,1R01HD096798-01,"SAFETY, PHARMACOKINETICS AND EFFICACY OF EXTENDED-RELEASE NALTREXONE IN PREGNANT WOMEN WITH OPIOID USE DISORDER",RePORTER_API_code
1R01HD096800-01,1R01HD096800-01,EFFECTS OF OPIOID USE DISORDER IN PREGNANCY ON LONG-TERM MATERNAL AND CHILD OUTCOMES,RePORTER_API_code
1R01HL150432-01,1R01HL150432-01,Cell-type specific role of circadian-dependent transcription in fentanyl-induced synaptic and behavioral plasticity,RePORTER_API_code
1R01HL150523-01,1R01HL150523-01,Deconstructing sleep disruption as a major risk factor for relapse in opioid use,RePORTER_API_code
1R01HL150566-01,1R01HL150566-01,Arousal circuitry and opiate-associated memories,RePORTER_API_code
1R01HL150836-01,1R01HL150836-01,"Sleep, opiate withdrawal and the N/OFQ - NOP system",RePORTER_API_code
1R01MH128904-01,1-R01-MH-128904-01,Supporting Treatment Access and Recovery for Co-Occurring Opioid Use and Mental Health Disorders (STAR-COD),RePORTER_API_code
1R01NS103350-01A1,3R01NS103350-01S1,Regulation of Trigeminal Nociception by TRESK Channels,RePORTER_API_manual
1R01NS113243-01,1R01NS113243-01,Targeting sensory ganglia and glial signaling for the treatment of acute and chronic pain,RePORTER_API_code
1R01NS113257-01,1R01NS113257-01,Discovery and validation of a novel orphan GPCR as a target for therapeutic intervention in neuropathic pain,RePORTER_API_code
1R01NS116694-01,1R01NS116694-01,Validation of Spinal Neurotensin Receptor 2 as an Analgesic Target,RePORTER_API_code
1R01NS116704-01,1R01NS116704-01,Validation of Fibroblast-Derived PI16 as a Novel Target for pain Treatment,RePORTER_API_code
1R01NS116759-01,1R01NS116759-01,Validating ASCT2 for the Treatment of Chronic Postsurgical Pain,RePORTER_API_code
1R01NS117340-01,1R01NS117340-01,B Lymphocyte-Mediated Autoimmunity in Pain After Trauma,RePORTER_API_code
1R01NS118504-01,1R01NS118504-01,Targeting GPCRs in Amygdalar and Cortical Neural Ensembles to Treat Pain Aversion,RePORTER_API_code
1R01NS118563-01A1,1R01NS118563-01A1,FKBP51 Antagonism to Prevent Chronic Pain: Optimizing Efficacy & Evaluating Safety and Mechanisms,RePORTER_API_code
1R01NS120663-01A1,R01NS120663-01A1,Genetic and Pharmacological Validation of CRMP2 Phosphorylation as a Novel therapeutic Target for Neuropathic Pain,RePORTER_API_code
1R03DA046011-01A1,1R03DA046011-01A1,"Opioid sparing potential of light-induced analgesia: a pilot trial of a novel, non-pharmacological treatment for pain",RePORTER_API_code
1R21AT009932-01,1R21AT009932-01,MINDFUL BODY AWARENESS TRAINING AS AN ADJUNCT TO MEDICATION ASSISTED TREATMENT FOR OPIOID USE DISORDER,RePORTER_API_code
1R21AT010106-01,1R21AT010106-01,PSYCHOSOCIAL PAIN MANAGEMENT TO IMPROVE OPIOID USE DISORDER TREATMENT OUTCOMES,RePORTER_API_code
1R21AT010109-01,1R21AT010109-01,MINDFULNESS ORIENTED RECOVERY ENHANCEMENT AS AN ADJUNCT TO METHADONE TREATMENT FOR OPIOID USE AND CHRONIC PAIN MANAGEMENT,RePORTER_API_code
1R21AT010117-01,1R21AT010117-01,MINDFUL MOMS IN RECOVERY: YOGA-BASED MINDFULNESS RELAPSE PREVENTION FOR PREGNANT WOMEN WITH OPIOID DISORDER,RePORTER_API_code
1R21AT010118-01,1R21AT010118-01,COMPREHENSIVE CBT VIA RESET FOR A HUB AND SPOKE MAT SYSTEM OF CARE,RePORTER_API_code
1R21AT010125-01,1R21AT010125-01,EFFECT OF MINDFULNESS TRAINING ON OPIOID USE AND ANXIETY DURING PRIMARY CARE BUPRENORPHINE TREATMENT,RePORTER_API_code
1R21DA047662-01,1R21DA047662-01,Human laboratory model to screen drugs with opioid analgesic-sparing effects: cannabidiol/morphine combinations,RePORTER_API_code
1R21DA048074-01,1R21DA048074-01,"Prescription Opioid Formulation to Deter Extraction, Injection, Insufflation, and Smoking",RePORTER_API_code
1R21DA049861-01,1R21DA049861-01,"Impact of SB 273 on West Virginia Patients, Providers and Overall Prescription Rates of Opioid Medications",RePORTER_API_code
1R21NS113335-01,1R21NS113335-01,Targeting the Vgf signaling system for new chronic pain treatments,RePORTER_API_code
1R24DA051946-01,1R24DA051946-01,Family-based Recovery Support Service Network for Youth OUD,RePORTER_API_code
1R24DA051975-01,1R24DA051975-01,Innovations in Recovery through Infrastructure Support (IRIS),RePORTER_API_code
1R24DA055306-01,R24 DA055306-01,Wake Forest IMPOWR Dissemination Education and Coordination Center (IDEA-CC),RePORTER_API_code
1R34DA046635-01A1,1R34DA046635-01A1,Treatment of chronic low back pain with transcutaneous auricular vagus nerve stimulation,RePORTER_API_code
1R34DA046730-01,1R34DA046730-01,Web-Based Treatment for Perinatal Opioid Use Disorder,RePORTER_API_code
1R34DA050044-01,1R34DA050044-01,Improving health and employment outcomes through workplace opioid policies,RePORTER_API_code
1R34DA050237-01,1R34DA050237-01,6/6 Planning for the HEALthy Early Development Study,RePORTER_API_code
1R34DA050254-01,1R34DA050254-01,Biological and Environmental Contributions to Healthy Baby Development in Diverse Population,RePORTER_API_code
1R34DA050255-01,1R34DA050255-01,Planning Phase for the Healthy Brain and Child Development Study (HEALthy BCD) in Los Angeles County Area,RePORTER_API_code
1R34DA050256-01,1R34DA050256-01,5/5 Establishing Innovative Approaches for the HEALthy Brain and Child Development Study,RePORTER_API_code
1R34DA050258-01,1R34DA050258-01,3/3 Promoting Resilience in Children: Protocol Development for a Birth Cohort Study To Assess Factors Impacting Neurodevelopment,RePORTER_API_code
1R34DA050261-01,1R34DA050261-01,3/5 Establishing Innovative Approaches for the HEALthy Brain and Child Development Study,RePORTER_API_code
1R34DA050262-01,1R34DA050262-01,1/5 Establishing Innovative Approaches for the HEALthy Brain and Child Development Study,RePORTER_API_code
1R34DA050263-01,1R34DA050263-01,2/3 Promoting Resilience in Children: Protocol Development for a Birth Cohort Study To Assess Factors Impacting Neurodevelopment,RePORTER_API_code
1R34DA050266-01,1R34DA050266-01,"2/2 Optimizing access, engagement and assessment to elucidate prenatal influences on neurodevelopment: The Brains Begin Before Birth (B4) Midwest Consortium",RePORTER_API_code
1R34DA050267-01,1R34DA050267-01,2/5 Establishing Innovative Approaches for the HEALthy Brain and Child Development Study,RePORTER_API_code
1R34DA050268-01,1R34DA050268-01,4/5 Establishing Innovative Approaches for the HEALthy Brain and Child Development Study,RePORTER_API_code
1R34DA050270-01,1R34DA050270-01,1/3 Promoting Resilience in Children: Protocol Development for a Birth Cohort Study To Assess Factors Impacting Neurodevelopment,RePORTER_API_code
1R34DA050272-01,1R34DA050272-01,"1/2 Optimizing access, engagement and assessment to elucidate prenatal influences on neurodevelopment: The Brains Begin Before Birth (B4) Midwest Consortium",RePORTER_API_code
1R34DA050283-01,1R34DA050283-01,3/4 Investigation of opioid exposure and neurodevelopment (iOPEN),RePORTER_API_code
1R34DA050284-01,1R34DA050284-01,1/5 The Cumulative Risk of Substance Exposure and Early Life Adversity on Child Health Development and Outcomes,RePORTER_API_manual
1R34DA050285-01,1R34DA050285-01,3/5 The Cumulative Risk of Substance Exposure and Early Life Adversity on Child Health Development and Outcomes,RePORTER_API_code
1R34DA050286-01,1R34DA050286-01,The Cumulative Risk of Substance Exposure and Early Life Adversity on Child Health Development and Outcomes,RePORTER_API_code
1R34DA050287-01,1R34DA050287-01,4/4 Investigation of opioid exposure and neurodevelopment (iOPEN),RePORTER_API_code
1R34DA050288-01,1R34DA050288-01,2/5 The Cumulative Risk of Substance Exposure and Early Life Adversity on Child Health Development and Outcomes,RePORTER_API_code
1R34DA050289-01,1R34DA050289-01,4/5 The Cumulative Risk of Substance Exposure and Early Life Adversity on Child Health Development and Outcomes,RePORTER_API_code
1R34DA050290-01,1R34DA050290-01,2/4 Investigation of opioid exposure and neurodevelopment (iOPEN),RePORTER_API_code
1R34DA050291-01,1R34DA050291-01,1/4 Investigation of opioid exposure and neurodevelopment (iOPEN),RePORTER_API_code
1R34DA050292-01,1R34DA050292-01,HEALthy ORCHARD: Developing plans for a Baltimore site of the HEALthy BCD study,RePORTER_API_code
1R34DA050297-01,1R34DA050297-01,"A feasibility study of novel technologies to minimize motion-induced biases in functional and structural MRI of young, opioid-affected cohorts",RePORTER_API_code
1R34DA050299-01,1R34DA050299-01,Florida Development in Early Childhood: Adversity and Drug Exposure (FL-DECADE) Study,RePORTER_API_code
1R34DA050340-01,1R34DA050340-01,2/6 Planning for the HEALthy Early Development Study,RePORTER_API_manual
1R34DA050341-01,1R34DA050341-01,4/6 Planning for the HEALthy Early Development Study,RePORTER_API_code
1R34DA050342-01,1R34DA050342-01,1/6 Planning for the HEALthy Early Development Study,RePORTER_API_code
1R34DA050343-01,1R34DA050343-01,3/6 Planning for the HEALthy Early Development Study,RePORTER_API_code
1R34NS126030-01,1 R34 NS126030-01,Profiling the human gut microbiome for potential analgesic bacterial therapies,RePORTER_API_code
1R34NS126032-01,1 R34 NS126032-01,Stem cell-loaded microgels to treat discogenic low back pain,RePORTER_API_code
1R34NS126036-01,1 R34 NS126036-01,Synthesis of peripherally active CB1 agonists as analgesics,RePORTER_API_code
1R41DA047779-01,1R41DA047779-01,DEVELOPMENT OF A TRACHEAL SOUND SENSOR FOR EARLY DETECTION OF HYPOVENTILATION DUE TO OPIOID OVERDOSE.,RePORTER_API_code
1R41DA048689-01,1R41DA048689-01,BEST-OUD: Behavioral Economic Screening Tool of Opioid Use Disorder for use in clinical practice,RePORTER_API_code
1R41DA050364-01,1R41DA050364-01,Optimization of Betulinic Acid analogs for T-type calcium channel inhibition for non-addictive relief of chronic pain,RePORTER_API_code
1R41DA050386-01,1R41DA050386-01,Prevention of renarcotization from synthetic opioids,RePORTER_API_code
1R41NS113717-01,1R41NS113717-01,"Pre-clinical evaluation of DT-001, a small molecule antagonist of MD2-TLR4 for utility in the treatment of pain",RePORTER_API_code
1R41NS115460-01,1R41NS115460-01,Minimally Invasive Intercostal Nerve Block Device to Treat Severe Pain and Reduce Usage of Opiates,RePORTER_API_code
1R41NS116784-01,1R41NS116784-01,Discovery of T-type Calcium Channel Antagonists from Multicomponent Reactions and Their Application in Paclitaxel-induced Peripheral Neuropathy,RePORTER_API_code
1R41NS118992-01,1R41NS118992-01,Development of selective calpain-1 inhibitors for chronic pain,RePORTER_API_code
1R42DA049448-01,1R42DA049448-01,Reward-based technology to improve opioid use disorder treatment initiation after an ED visit,RePORTER_API_code
1R43AR074369-01,1R43AR074369-01,Development of a fixed-dose combination therapy for the treatment of chronic musculoskeletal pain,RePORTER_API_code
1R43CA233371-01A1,1R43CA233371-01A1,Inhibiting soluble epoxide hydrolase as a treatment for chemotherapy inducedperipheral neuropathic pain,RePORTER_API_manual
1R43DA046973-01,1R43DA46973-01,Device to Measure Pain using Facial Expression Recognition with Patiene PAINReportitA Tablet,RePORTER_API_manual
1R43DA046974-01,1R43DA046974-01,"IMPACT-Instrument to Measure Pain and Assess Correlation to Treatment. Create a smartphone pupillometry to objectively determine the presence of acute pain, evaluate opioid as the treatment for pain.",RePORTER_API_code
1R43DA046998-01,1R43DA046998-01,DEVELOPMENT OF A MULTIPLEX PEPTIDE ARRAY TO IDENTIFY PATIENTS WITH AN AUTOANTIBODY SIGNATURE FOR CHRONIC PAIN,RePORTER_API_code
1R43DA047722-01,1R43DA047722-01,PERIPHERALLY-RESTRICTED AND LONG-ACTING MAS1(LA-MAS1) AGONISTS FOR PAIN,RePORTER_API_code
1R43DA047781-01,1R43DA047781-01,A NOVEL FAST ACTING NALMEFENE FORMULATION FOR THE PREVENTION AND TREATMENT OF OPIOID OVERDOSE,RePORTER_API_code
1R43DA049300-01A1,1R43DA049300-01A1,PRAPELA??? SVS: A COST-EFFECTIVE STOCHASTIC VIBROTACTILE STIMULATION DEVICE TO IMPROVE THE CLINICAL COURSE OF INFANTS WITH NEONATAL ABSTINENCE SYNDROME,RePORTER_API_code
1R43DA049495-01,1R43DA049495-01,Removing implementation obstacles and tailoring reward-based technology programs to patient psychographic characteristics to sustainably increase adherence to substance use disorder pharmacotherapies,RePORTER_API_code
1R43DA049616-01,1R43DA049616-01,Development and Evaluation of Computerized Chemosensory-Based Orbitofrontal Cortex Training (CBOT) for relapse preventionin patients with Opioid Use (OUD),RePORTER_API_code
1R43DA049617-01,1R43DA049617-01,At-Home Virtual Reality Guided Imagery Intervention for Chronic Pain,RePORTER_API_code
1R43DA049620-01,1R43DA049620-01,"NeoGUARD: An easy-to-use, low-cost brain monitor for objective screening and treatment of opioid-exposed infants",RePORTER_API_code
1R43DA049623-01,1R43DA049623-01,Non-invasive Neuromodulation Device for Decreasing Withdrawal Symptoms and Craving during Treatment of Opioid Use Disorder,RePORTER_API_code
1R43DA049650-01,1R43DA049650-01,Patient-level Risk Identifier Models for a Multifactor Opioid Abuse Risk Assessment Strategy,RePORTER_API_code
1R43DA049684-01,1R43DA049684-01,Non-intrusive detection of temporary neurologic impairment by opioids,RePORTER_API_code
1R43DA050338-01,1R43DA050338-01,A universal approach for improving the limit of detection for fentanyl and fentanyl derivatives in urine,RePORTER_API_code
1R43DA050349-01,1R43DA050349-01,"A Novel Chemokine Receptor Antagonist to Block Opioid Reinforcement, Relapse and Physical Dependence",RePORTER_API_code
1R43DA050358-01,1R43DA050358-01,A Project to Test The Efficacy And Safety Of An Innovative Treatment Of Opiate Use Disorders,RePORTER_API_code
1R43DA050360-01,1R43DA050360-01,Transcutaneous auricular neurostimulation for neonatal abstinence syndrome,RePORTER_API_code
1R43DA050380-01,1R43DA050380-01,Neurofeedback-EEG-VR (NEVR) System for Non-opioid Pain Therapy,RePORTER_API_code
1R43DA050393-01,1R43DA050393-01,Evaluation of the therapeutic potential of exclusive antagonists of extrasynaptic NMDA receptors for treatment of opioid use disorders,RePORTER_API_code
1R43DA050395-01,1R43DA050395-01,Fixed dose analgesic combination with non-opioid mechanism to prevent opioid misuse,RePORTER_API_code
1R43DA050397-01,1R43DA050397-01,Development of cannabinoid-opioid combination with opioid sparing and synergistic analgesic effects to prevent opioid use disorder and overdose.,RePORTER_API_code
1R43DA051279-01,1 R43 DA051279-01,Project Motivate: A digital motivation and prediction platform to improve treatment retention and reduce relapse in opioid use disorder,RePORTER_API_code
1R43DE029369-01,1R43DE029369-01,A Novel Opioid-Free Targeted Pain Control Method for Acute Post-Operative Localized Pain Related to Oral Surgical Procedures,RePORTER_API_code
1R43DE029379-01,1R43DE029379-01,Therapeutic in Situ Analgesic Implant for improved Oral-Facial Post-Operative Pain Outcomes,RePORTER_API_code
1R43NR017575-01A1,1R43NR017575-01A1,Using Virtual Reality Psychological Therapy to Develop a Non-Opioid Chronic Pain Therapy,RePORTER_API_code
1R43NS110117-01,1R43NS110117-01,Development of a novel anti-migraine therapeutics,RePORTER_API_code
1R43NS112088-01A1,1R43NS112088-01A1,Repression of Sodium Channels via a Gene Therapy for Treatment of Chronic Neuropathic Pain,RePORTER_API_code
1R43NS113726-01,1R43NS113726-01,"Pharmacokinetic and toxicology studies of AYX2, a transcription factor decoy, non-opioid, disease modifying drug candidate for the long-term treatment of chronic pain",RePORTER_API_code
1R43NS115294-01,1R43NS115294-01,Developing EXP-1801 as an imaging agent to quantify pain and analgesia,RePORTER_API_code
1R43NS115312-01,1R43NS115312-01,Long-acting ghrelin for neuropathy,RePORTER_API_code
1R43NS119087-01A1,1R43NS119087-01A1,Evaluating the Blood-Brain Barrier Bioavailability and in vivo Efficacy Potential of a Novel TAK1 Inhibitor Targeting Chronic Pain,RePORTER_API_code
1R43NS120335-01,1R43NS120335-01,Closed-Loop Micromagnetic Neuromodulation as a Non-Opioid Treatment for Neuropathic Pain,RePORTER_API_code
1R43NS120410-01A1,1R43NS120410-01A1,Optimization of a Gene Therapy for Chronic Pain in Human DRGs,RePORTER_API_code
1R43NS120617-01A1,1R43NS120617-01A1,Chemokine-receptor profiling for painful diabetic neuropathy in biological samples from human clinical trials,RePORTER_API_code
1R43NS124421-01A1,1R43NS124421-01A1,Development of Nav1.7 Monoclonal Antibodies for Treating Pain,RePORTER_API_code
1R44AR074820-01A1,1R44AR074820-01A1,A phenotypic screen for osteoarthritic pain therapeutics using all-optical electrophysiology,RePORTER_API_code
1R44AR076885-01,1R44AR076885-01,Enhancing Physical Therapy: Noninvasive Brain Stimulation System for Treating Carpal Tunnel Syndrome,RePORTER_API_code
1R44DA046151-01,1R44DA046151-01,"RAE (REALIZE, ANALYZE, ENGAGE)- A DIGITAL BIOMARKER BASED DETECTION AND INTERVENTION SYSTEM FOR STRESS AND CRAVING DURING RECOVERY FROM SUBSTANCE ABUSE DISORDERS",RePORTER_API_code
1R44DA046316-01A1,1R44DA046316-01A1,A Phase 1 Randomized Single Oral Dose Four Period Cross-Over Study Investigating Omnitram Dose Proportionality and Food Effect in Normal Human Subjects,RePORTER_API_manual
1R44DA047866-01,1R44DA047866-01,NEONATAL OPIOID SCREENING USING APTAMERS AND COMPENSATED INTERFEROMETRY,RePORTER_API_code
1R44DA049493-01,1R44DA049493-01,A Prescription Digital Therapeutic to Promote Adherence to Buprenorphine Pharmacotherapy for Patients with Opioid Use Disorder,RePORTER_API_code
1R44DA049629-01,1R44DA049629-01,Connected Pharmacy Platform to Improve Adherence to Buprenorphine-Naloxone Prescription Treatment of Opioid Use Disorder,RePORTER_API_code
1R44DA049630-01,1R44DA049630-01,Opioid-Sparing pain management for Chronic Low Back Pain patients using TMC-CP01 - A VANISH (Virtual Autonomic Neuromodulation Induced Systemic Healing) based program,RePORTER_API_code
1R44DA049631-01,1R44DA049631-01,Addressing Opioid Use Disorder with an External Multimodal Neuromodulation Device: Development and Clinical Evaluation of DuoTherm for Opioid-Sparing in Acute and Chronic Low Back Pain.,RePORTER_API_code
1R44DA049685-01,1R44DA049685-01,Noninvasive Brain Stimulation for Treating Addiction,RePORTER_API_code
1R44DA050339-01,1R44DA050339-01,Transforming smartphones into active sonar systems to detect opioid overdose,RePORTER_API_code
1R44DA050357-01,1R44DA050357-01,An optimized screening platform for identifying and quantifying biased agonists as drugs for the treatment of Opioid Use Disorder,RePORTER_API_code
1R44DA050375-01,1R44DA050375-01,A Novel Workflow to Screen for Illicit Drug Exposure in Newborns,RePORTER_API_code
1R44DA051272-01,1 R44 DA051272-01,"A patient self-assessment software combining compliance protocols to improve prescriber confidence, reduce liability, and improve patient outcomes.",RePORTER_API_code
1R44GM140795-01A1,1R44GM140795-01A1,Non-Opioid Post-Operative Pain Management Using Bupivacaine-loaded Poly(ester urea) Mesh,RePORTER_API_code
1R44HD107822-01,1R44HD107822-01,A Novel Medical System for Quantitative Diagnosis and Personalized Precision Botulinum Neurotoxin Injection in Chronic Pelvic Pain Management,RePORTER_API_code
1R44NS113740-01,1R44NS113740-01,An Instrument to Assess the Functional Impact of Chronic Pain,RePORTER_API_manual
1R44NS113749-01,1R44NS113749-01,Micronized salsalate in a parenteral formulation is a safe and effective analgesic for acute postoperative pain management,RePORTER_API_code
1R44NS115196-01,1R44NS115196-01,A single dose long-acting non-addictive polymer conjugate formulation of buprenorphine that provides immediate and prolonged analgesia for post-operative pain,RePORTER_API_code
1R44NS119036-01,1R44NS119036-01,Development of a novel analgesic for mixed inflammatory and neuropathic pain states,RePORTER_API_code
1R61AT010604-01,1R61AT010604-01,Testing the Effects of Contingency Management and Behavioral Economics on Buprenorphine-Naloxone Treatment Adherence Using a Sequential Multiple Assignment Randomized Trial (SMART) Design,RePORTER_API_code
1R61AT010606-01,1R61AT010606-01,Adapting the HOPE Online Support Intervention to Increase MAT Uptake Among OUD Patients,RePORTER_API_manual
1R61AT010614-01,1R61AT010614-01,The Youth Opioid Recovery Support (YORS) Intervention: An assertive community treatment model for improving medication adherence in young adults with opioid use disorder,RePORTER_API_code
